game_date,player,team,opp,stat,side,line,pred_mean,p_hit,minutes_proj,edge_raw,edge_norm,edge_rank_pct,score_safe,score_balanced,score_lotto,rank_score,overall_rank,overall_rank_pct,stat_rank,stat_rank_pct,team_rank,player_rank,edge_tier,can_safe,can_balanced,can_lotto,baseline_mean,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,reb_top_bucket_bonus,ast_extreme_tail_penalty,score
2025-01-02,Haywood Highsmith,MIA,IND,reb,over,3.5,4.8350438063436245,0.7110509869411796,29.450000199999995,1.3350438063436245,0.5526796270715275,0.8541666666666666,0.7390926252698257,0.922468446561979,1.0217020427745553,1.0742791716336708,109,0.568,28,0.5909090909090909,9,3,tier_4,1,1,1,4.4,poisson,0.0,1,ok,reb_hgbr,v1,0.818055561111111,0.21105098694117963,0.03,0.0,0.07,0.0,0.922468446561979
2025-01-02,Kris Dunn,LAC,OKC,ast,over,1.5,2.653139090565601,0.7427102166845212,29.886666399999996,1.1531390905656012,0.6033212062286194,0.7811550151975684,0.88061690908045,0.8974067675804087,0.897358288240742,1.072864562837437,110,0.564,40,0.38095238095238093,16,3,tier_4,1,1,1,3.2,poisson,0.0,1,ok,ast_hgbr,v1,0.8301851777777777,0.2427102166845212,0.04,0.0,0.0,0.0,0.8974067675804087
2025-01-02,A.J. Green,MIL,BRK,fg3,under,3.5,2.253806494386417,0.7890644063298727,25.136667,1.2461935056135829,0.6908593232406451,0.7605177993527508,0.7909366557287806,0.9090689228216593,1.0086667915461398,1.0695789235060054,111,0.56,43,0.288135593220339,14,2,tier_4,1,1,1,2.1375,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.69824075,0.28906440632987274,0.1,0.0,0.0,0.0,0.9090689228216593
2025-01-02,Shaedon Sharpe,POR,LAL,reb,over,2.5,3.6559529774208595,0.7070371174042046,31.543333399999995,1.1559529774208595,0.5357175514443112,0.8154761904761905,0.747909097476717,0.9163700464285879,1.0081011102337147,1.0633903711494543,112,0.556,29,0.5757575757575758,8,2,tier_4,1,1,1,3.1999999999999997,poisson,0.0,1,ok,reb_hgbr,v1,0.8762037055555554,0.2070371174042046,0.03,0.0,0.07,0.0,0.9163700464285879
2025-01-02,Naz Reid,MIN,BOS,reb,under,6.5,5.165666724390224,0.7375802186798701,25.726666599999998,1.3343332756097759,0.5373710844391713,0.8244047619047619,0.7334648736038816,0.9142754409039354,1.0018083682025258,1.0618011840576471,113,0.552,30,0.5606060606060606,13,3,tier_4,1,1,1,4.0,poisson,0.0,1,ok,reb_hgbr,v1,0.7146296277777777,0.23758021867987011,0.03,0.0,0.07,0.0,0.9142754409039354
2025-01-02,Pascal Siakam,IND,MIA,ast,under,4.5,3.326574290084703,0.7577336866030433,30.226666599999994,1.1734257099152972,0.564135612864519,0.7355623100303952,0.8912789760300253,0.8817638606636637,0.8646022030303251,1.0549299772949547,114,0.548,41,0.36507936507936506,11,2,tier_4,1,1,1,3.0000000000000004,poisson,0.0,1,ok,ast_hgbr,v1,0.8396296277777776,0.2577336866030433,0.04,0.0,0.0,0.0,0.8817638606636637
2025-01-02,Jaden McDaniels,MIN,BOS,fg3,over,0.5,1.620003208370877,0.7628057557123513,26.953333399999998,1.120003208370877,0.6919398692752488,0.7637540453074434,0.7745722401183084,0.895639780279722,1.0029825776779004,1.0544523224737485,115,0.544,44,0.2711864406779661,14,2,tier_4,1,1,1,0.8235294117647058,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.7487037055555555,0.2628057557123513,0.1,0.0,0.0,0.0,0.895639780279722
2025-01-02,Payton Pritchard,BOS,MIN,fg3,under,4.5,3.1164883864300927,0.7695994259218053,27.316666599999998,1.3835116135699073,0.6818979138948145,0.7378640776699029,0.783210066038387,0.8960611628452372,0.9971868337079556,1.051907442558751,116,0.54,45,0.2542372881355932,10,3,tier_4,1,1,1,3.3428571428571425,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.7587962944444444,0.2695994259218053,0.1,0.0,0.0,0.0,0.8960611628452372
2025-01-02,A.J. Green,MIL,BRK,reb,over,1.5,2.535114516216986,0.7198328311683515,25.136667,1.0351145162169861,0.5505371821398292,0.8422619047619048,0.7088796663596906,0.904094230441105,1.0043432783959745,1.0510028824791273,117,0.536,31,0.5454545454545454,15,3,tier_4,1,1,1,3.2,poisson,0.0,1,ok,reb_hgbr,v1,0.69824075,0.2198328311683515,0.03,0.0,0.07,0.0,0.904094230441105
2025-01-02,Guerschon Yabusele,PHI,GSW,reb,over,3.5,4.829848952840015,0.7102725590351,26.570000199999992,1.329848952840015,0.5507742963649919,0.8452380952380952,0.7099692367177406,0.9031088492214144,1.0054351637539582,1.050590787601323,118,0.532,32,0.5303030303030303,8,3,tier_4,1,1,1,4.2,poisson,0.0,1,ok,reb_hgbr,v1,0.7380555611111109,0.2102725590351,0.03,0.0,0.07,0.0,0.9031088492214144
2025-01-02,Shaedon Sharpe,POR,LAL,ast,over,1.5,2.585048988122602,0.7297146022160956,31.543333399999995,1.085048988122602,0.5730622479301211,0.7446808510638298,0.8676264204486531,0.8692369939073138,0.8644992185798127,1.039950786004966,119,0.528,42,0.3492063492063492,9,3,tier_4,1,1,1,2.2,poisson,0.0,1,ok,ast_hgbr,v1,0.8762037055555554,0.22971460221609563,0.04,0.0,0.0,0.0,0.8692369939073138
2025-01-02,Jarace Walker,IND,MIA,reb,over,2.5,3.7687717643716967,0.7260220574392704,17.733332999999995,1.2687717643716967,0.5810054904624933,0.8869047619047619,0.6569813213041232,0.8925664954202064,1.0111439056323825,1.0396607128420874,120,0.524,33,0.5151515151515151,12,3,tier_4,0,1,1,2.5999999999999996,poisson,0.0,1,ok,reb_hgbr,v1,0.49259258333333317,0.2260220574392704,0.03,0.0,0.07,0.0,0.8925664954202064
2025-01-02,Alec Burks,MIA,IND,fg3,under,2.5,1.4653589459113785,0.8053185750827685,22.409999799999998,1.0346410540886215,0.6589456983001359,0.7087378640776699,0.776144904693,0.8848408357033225,0.971140483592339,1.037456433907389,121,0.52,46,0.23728813559322035,10,3,tier_4,1,1,1,2.037037037037037,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.6224999944444444,0.3053185750827685,0.1,0.0,0.0,0.0,0.8848408357033225
2025-01-02,Nickeil Alexander-Walker,MIN,BOS,reb,over,2.5,3.7181571311765023,0.7176268581503855,21.653333199999995,1.2181571311765023,0.5608117596728185,0.8660714285714286,0.6762969137785145,0.8900726916488771,0.9993871208042168,1.0373140941903936,122,0.516,34,0.5,15,2,tier_4,1,1,1,3.4000000000000004,poisson,0.0,1,ok,reb_hgbr,v1,0.6014814777777776,0.21762685815038552,0.03,0.0,0.07,0.0,0.8900726916488771
2025-01-02,Isaiah Joe,OKC,LAC,fg3,over,0.5,1.6900466576370863,0.7755571837439749,17.363333399999995,1.1900466576370863,0.7255779605826516,0.7928802588996764,0.7141787898861296,0.8819564701019814,1.007039430200103,1.0365173802062768,123,0.512,47,0.22033898305084745,15,2,tier_4,0,1,1,1.4693877551020407,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.48231481666666653,0.27555718374397487,0.1,0.0,0.0,0.0,0.8819564701019814
