game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto
2025-01-08,T.J. McConnell,IND,CHI,fg3,0.19202665800226987,0.16000000000000003,16.763333199999995,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9818530494799608,-1.3079733419977302,1.3079733419977302,0.9433980584990607,0.9324109182188036,0.9214237779385464
2025-01-08,Precious Achiuwa,NYK,TOR,fg3,0.20109531582427345,0.26666666666666666,17.97000019999999,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9802501840629084,-1.2989046841757266,1.2989046841757266,0.9402401772301883,0.928808746706554,0.9173773161829197
2025-01-08,Jonas Valančiūnas,WAS,PHI,fg3,0.2028397094206996,0.05714285714285714,20.679999999999993,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,1.5,under,0.9799355624636402,-1.2971602905793005,1.2971602905793005,0.9396286482895144,0.9281123870969072,0.9165961259042998
2025-01-08,Caleb Martin,PHI,WAS,fg3,1.0540170647313007,1.002409638554217,32.073333,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8961085370872225,-1.4459829352686993,1.4459829352686993,0.9198663424055289,0.926654286782188,0.933442231158847
2025-01-08,Guerschon Yabusele,PHI,WAS,ast,1.99303337074356,1.4000000000000001,30.169999799999992,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8637185942037942,1.49303337074356,1.49303337074356,0.9097913071564829,0.9229549394286798,0.9361185717008766
2025-01-08,Kyshawn George,WAS,PHI,ast,1.9906663989796238,1.0,23.42999979999999,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8633956379008817,1.4906663989796238,1.4906663989796238,0.9090290925162,0.9220672224062911,0.9351053522963821
2025-01-08,Max Strus,CLE,OKC,fg3,1.0771392272515554,1.4444444444444446,23.65999979999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8914219640268015,-1.4228607727484446,1.4228607727484446,0.9114249022583076,0.9171400274673094,0.9228551526763111
2025-01-08,Jaylin Williams,OKC,CLE,ast,1.096029805082053,1.4,11.149999999999991,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.9012145264063334,-1.403970194917947,1.403970194917947,0.9133822692497529,0.9168587672050157,0.9203352651602785
2025-01-08,Precious Achiuwa,NYK,TOR,ast,1.0963244978026914,0.0,17.97000019999999,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.9011553651737164,-1.4036755021973086,1.4036755021973086,0.9132750528595773,0.9167378207698234,0.9202005886800695
2025-01-08,Marcus Sasser,DET,BRK,reb,1.9763372777611394,1.5999999999999999,13.983333319999991,poisson,0.0,0,pred_mean_lt_2,reb_hgbr,v1,0.5,over,0.8614241261550558,1.4763372777611394,1.4763372777611394,0.9044041504927398,0.916684157446364,0.928964164399988
2025-01-08,Alex Caruso,OKC,CLE,fg3,1.0785912597208318,0.8500000000000001,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.891125467778918,-1.4214087402791682,1.4214087402791682,0.9108933723468904,0.9165413450805969,0.9221893178143032
2025-01-08,Christian Braun,DEN,LAC,ast,2.01660211803583,3.1999999999999997,33.25333379999999,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.8541152921524071,-1.4833978819641702,1.4833978819641702,0.9013008816067432,0.9147824785936964,0.9282640755806496
2025-01-08,Ja'Kobe Walter,TOR,NYK,fg3,1.0881984922381278,0.9078947368421053,17.169999999999987,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8891573640112489,-1.4118015077618722,1.4118015077618722,0.9073724188049939,0.9125767201746353,0.9177810215442768
