game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score,delta_mean,confidence_tier,pred_pctile_within_stat,delta_pctile_within_stat,minutes_pctile_within_stat,dispersion_pctile_good,baseline_available,zero_baseline_flag,rel_delta_vs_baseline,rel_delta_pctile_within_stat,confidence_score,stat_broad_weight,stat_top_pick_weight,stat_variance_penalty,top_pick_bucket,top_bucket_bonus,ast_tail_penalty,rank_score
2025-01-08,Jalen Williams,OKC,CLE,reb,5.729364128591175,5.999999999999999,33.11000019999999,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.6770876769444371,1.2293641285911754,0.4739074351028774,0.9197222277777775,0.17708767694443706,0.03,0.0,0.313953488372093,0.0,0.0,0.691753488372093,0.7281174418604651,0.7338674418604652,0,1,1,0.768821907939177,0.0,high_conf,0.686046511627907,0.5058139534883721,0.8023255813953488,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7150093604651163
2025-01-08,Tyrese Maxey,PHI,WAS,pts,29.098386828538267,22.999295176397727,37.206666599999984,nbinom,0.05344975309597418,1,ok,pts_composed,v1,30.5,under,0.5947827451816579,1.401613171461733,0.25547979576947527,1.0,0.09478274518165786,0.06,0.0,0.17857142857142858,0.0,0.0,0.7538018095238097,0.705420369047619,0.6621462857142858,0,1,1,0.47277889564739206,0.0,medium_conf,0.9880952380952381,0.5059523809523809,0.9642857142857143,0.5059523809523809,1,0,0.0,0.5059523809523809,0.66,0.97,0.96,0.04,elite,0.0,0.0,0.713954424404762
2025-01-08,Jamal Murray,DEN,LAC,pts,24.031404645226285,18.41611114313714,37.25333319999999,nbinom,0.05344975309597418,1,ok,pts_composed,v1,25.5,under,0.6084554955250288,1.468595354773715,0.29353476171717285,1.0,0.10845549552502876,0.06,0.0,0.2976190476190476,0.0,0.0,0.7480279999999999,0.6997912023809523,0.6555177142857143,0,1,1,0.5153433195200653,0.0,medium_conf,0.9523809523809523,0.5059523809523809,0.9761904761904762,0.5059523809523809,1,0,0.0,0.5059523809523809,0.66,0.97,0.96,0.04,elite,0.0,0.0,0.7080175494047618
2025-01-08,Caleb Martin,PHI,WAS,reb,5.767667280751149,3.8,32.073333,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.6826428392928369,1.2676672807511489,0.48728807279950415,0.8909259166666667,0.18264283929283687,0.03,0.0,0.38372093023255816,0.0,0.0,0.6787627906976745,0.7198593023255815,0.7309511627906977,1,1,1,0.7796579192351996,0.0,high_conf,0.7093023255813954,0.5058139534883721,0.7441860465116279,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7061936627906977
2025-01-08,Bennedict Mathurin,IND,CHI,reb,5.680302297622787,5.799999999999999,32.3800002,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.6698778428818568,1.180302297622787,0.45666233684431207,0.89944445,0.1698778428818568,0.03,0.0,0.23255813953488372,0.0,0.0,0.676939534883721,0.7166546511627907,0.7251186046511628,0,1,1,0.7426388728260064,0.0,high_conf,0.6744186046511628,0.5058139534883721,0.7674418604651163,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7028845930232559
2025-01-08,Damian Lillard,MIL,SAS,reb,4.733344942103578,3.9999999999999996,34.8233336,poisson,0.0,1,ok,reb_hgbr,v1,3.5,over,0.695532707110935,1.233344942103578,0.5150869196638361,0.9673148222222222,0.19553270711093496,0.03,0.0,0.47674418604651164,0.0,0.0,0.6844604651162791,0.7152988372093024,0.7105372093023256,1,1,1,0.8324058862467556,0.0,high_conf,0.5465116279069767,0.5058139534883721,0.8953488372093024,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.701773081395349
2025-01-08,Shaedon Sharpe,POR,NOP,reb,4.588911932635181,4.6000000000000005,36.81999999999999,poisson,0.0,1,ok,reb_hgbr,v1,3.5,over,0.6724821267714587,1.088911932635181,0.4606055046118283,1.0,0.1724821267714587,0.03,0.0,0.26744186046511625,0.0,0.0,0.6871953488372093,0.7148058139534884,0.7052348837209302,0,1,1,0.7699229695696893,0.0,high_conf,0.5,0.5058139534883721,0.9418604651162791,0.5058139534883721,1,0,0.0,0.5058139534883721,1.0,0.98,1.14,0.02,core,0.0,0.0,0.7013688953488373
2025-01-08,Chris Paul,SAS,MIL,ast,8.779212784231738,9.2,30.033333199999994,poisson,0.0,1,ok,ast_hgbr,v1,7.5,over,0.6496195091919044,1.2792127842317385,0.4090636065541088,0.8342592555555554,0.14961950919190437,0.04,0.0,0.03409090909090909,0.0,0.0,0.7189545454545456,0.7017755681818182,0.6673704545454546,0,1,1,0.6470885081893085,0.0,high_conf,0.9772727272727273,0.5056818181818182,0.6022727272727273,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,elite,0.0,0.05,0.7000458806818183
2025-01-08,Shaedon Sharpe,POR,NOP,ast,2.393661612778464,3.4000000000000004,36.81999999999999,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.7800466700313577,1.1063383872215362,0.600556281222094,1.0,0.28004667003135775,0.04,0.0,0.38636363636363635,0.0,0.0,0.7566818181818183,0.6951732954545455,0.6072340909090911,1,1,1,0.9666440423526892,0.0,high_conf,0.5227272727272727,0.5056818181818182,0.9431818181818182,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,core,0.0,0.0,0.697791903409091
2025-01-08,Darius Garland,CLE,OKC,ast,6.968120712300965,8.0,30.053333399999996,poisson,0.0,1,ok,ast_hgbr,v1,5.5,over,0.6952016795675398,1.4681207123009647,0.5200963588970838,0.8348148166666666,0.19520167956753975,0.04,0.0,0.20454545454545456,0.0,0.0,0.7162545454545456,0.6988494318181818,0.663584090909091,1,1,1,0.783296095421368,0.0,high_conf,0.9545454545454546,0.5056818181818182,0.6136363636363636,0.5056818181818182,1,0,0.0,0.5056818181818182,1.0,1.08,0.98,0.03,elite,0.0,0.05,0.6969951420454547
