game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit
2025-01-08,Ajay Mitchell,OKC,CLE,pts,7.070927925365684,6.411764705882353,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,8.5,under,0.7028529758624091
2025-01-08,Ajay Mitchell,OKC,CLE,reb,3.3822821788493758,1.9705882352941175,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,2.5,over,0.6568299220800925
2025-01-08,Ajay Mitchell,OKC,CLE,reb,3.3822821788493758,1.9705882352941175,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,3.5,under,0.5622344621180919
2025-01-08,Ajay Mitchell,OKC,CLE,reb,3.3822821788493758,1.9705882352941175,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,4.5,under,0.7474688527916242
2025-01-08,Alex Caruso,OKC,CLE,ast,2.834066120270802,2.45,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,1.5,over,0.7746589462587764
2025-01-08,Alex Caruso,OKC,CLE,ast,2.834066120270802,2.45,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,over,0.5386270564283347
2025-01-08,Alex Caruso,OKC,CLE,ast,2.834066120270802,2.45,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,3.5,under,0.6843496043289804
2025-01-08,Alex Caruso,OKC,CLE,fg3,1.0785912597208318,0.8500000000000001,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,0.5,over,0.6299907912159389
2025-01-08,Alex Caruso,OKC,CLE,fg3,1.0785912597208318,0.8500000000000001,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,1.5,under,0.7098393808200778
2025-01-08,Alex Caruso,OKC,CLE,fg3,1.0785912597208318,0.8500000000000001,,nbinom,0.16167095985722266,0,minutes_lt_10,fg3_composed,v1,2.5,under,0.891125467778918
2025-01-08,Alex Caruso,OKC,CLE,pts,7.5335496164249705,5.500000000000001,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,6.5,over,0.5919639408156436
2025-01-08,Alex Caruso,OKC,CLE,pts,7.5335496164249705,5.500000000000001,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,7.5,under,0.533239516346647
2025-01-08,Alex Caruso,OKC,CLE,pts,7.5335496164249705,5.500000000000001,,nbinom,0.05344975309597418,0,minutes_lt_12,pts_composed,v1,8.5,under,0.6487456904979255
2025-01-08,Alex Caruso,OKC,CLE,reb,4.046209566158188,2.9,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,3.5,over,0.5755051554218813
2025-01-08,Alex Caruso,OKC,CLE,reb,4.046209566158188,2.9,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,4.5,under,0.6198099179758231
2025-01-08,Alex Caruso,OKC,CLE,reb,4.046209566158188,2.9,,poisson,0.0,0,minutes_lt_12,reb_hgbr,v1,5.5,under,0.7778670616551597
2025-01-08,Alex Sarr,WAS,PHI,ast,2.137339936257501,2.8,25.7866668,poisson,0.0,1,ok,ast_hgbr,v1,1.5,over,0.6298935638470131
2025-01-08,Alex Sarr,WAS,PHI,ast,2.137339936257501,2.8,25.7866668,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.639558965920562
2025-01-08,Alex Sarr,WAS,PHI,ast,2.137339936257501,2.8,25.7866668,poisson,0.0,1,ok,ast_hgbr,v1,3.5,under,0.8315295168531793
2025-01-08,Alex Sarr,WAS,PHI,fg3,1.3991137043164839,1.3106382978723405,25.7866668,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.7167165129618197
2025-01-08,Alex Sarr,WAS,PHI,fg3,1.3991137043164839,1.3106382978723405,25.7866668,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,1.5,under,0.6065154915250823
2025-01-08,Alex Sarr,WAS,PHI,fg3,1.3991137043164839,1.3106382978723405,25.7866668,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8207357743332121
2025-01-08,Alex Sarr,WAS,PHI,pts,12.226159438305057,12.67488347433208,25.7866668,nbinom,0.05344975309597418,1,ok,pts_composed,v1,11.5,over,0.5307531939235369
2025-01-08,Alex Sarr,WAS,PHI,pts,12.226159438305057,12.67488347433208,25.7866668,nbinom,0.05344975309597418,1,ok,pts_composed,v1,12.5,under,0.558246281694499
2025-01-08,Alex Sarr,WAS,PHI,pts,12.226159438305057,12.67488347433208,25.7866668,nbinom,0.05344975309597418,1,ok,pts_composed,v1,13.5,under,0.6413360375387648
2025-01-08,Alex Sarr,WAS,PHI,reb,5.912052654759356,8.2,25.7866668,poisson,0.0,1,ok,reb_hgbr,v1,4.5,over,0.7029990025028204
2025-01-08,Alex Sarr,WAS,PHI,reb,5.912052654759356,8.2,25.7866668,poisson,0.0,1,ok,reb_hgbr,v1,5.5,over,0.5400925163525763
2025-01-08,Alex Sarr,WAS,PHI,reb,5.912052654759356,8.2,25.7866668,poisson,0.0,1,ok,reb_hgbr,v1,6.5,under,0.6204261043011015
2025-01-08,Amir Coffey,LAC,DEN,ast,1.4857784719908174,1.0,26.8333332,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.7736739164370882
2025-01-08,Amir Coffey,LAC,DEN,ast,1.4857784719908174,1.0,26.8333332,poisson,0.0,1,ok,ast_hgbr,v1,1.5,under,0.5625965061706812
2025-01-08,Amir Coffey,LAC,DEN,ast,1.4857784719908174,1.0,26.8333332,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.81240818350962
2025-01-08,Amir Coffey,LAC,DEN,fg3,1.4500086352713064,2.421052631578947,26.8333332,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.728196221837637
2025-01-08,Amir Coffey,LAC,DEN,fg3,1.4500086352713064,2.421052631578947,26.8333332,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,1.5,under,0.5910763567311603
2025-01-08,Amir Coffey,LAC,DEN,fg3,1.4500086352713064,2.421052631578947,26.8333332,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.808907959723183
2025-01-08,Amir Coffey,LAC,DEN,pts,10.228454291168038,14.94551083591331,26.8333332,nbinom,0.05344975309597418,1,ok,pts_composed,v1,9.5,over,0.5386475615162877
2025-01-08,Amir Coffey,LAC,DEN,pts,10.228454291168038,14.94551083591331,26.8333332,nbinom,0.05344975309597418,1,ok,pts_composed,v1,10.5,under,0.5620251382456235
2025-01-08,Amir Coffey,LAC,DEN,pts,10.228454291168038,14.94551083591331,26.8333332,nbinom,0.05344975309597418,1,ok,pts_composed,v1,11.5,under,0.6548975665371801
2025-01-08,Amir Coffey,LAC,DEN,reb,3.4861543192034796,3.2,26.8333332,poisson,0.0,1,ok,reb_hgbr,v1,2.5,over,0.6765843186604392
2025-01-08,Amir Coffey,LAC,DEN,reb,3.4861543192034796,3.2,26.8333332,poisson,0.0,1,ok,reb_hgbr,v1,3.5,under,0.5396232978801372
2025-01-08,Amir Coffey,LAC,DEN,reb,3.4861543192034796,3.2,26.8333332,poisson,0.0,1,ok,reb_hgbr,v1,4.5,under,0.7280565769420422
2025-01-08,Andre Drummond,PHI,WAS,ast,1.2146874816462674,0.5384615384615384,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.7031972438897465
2025-01-08,Andre Drummond,PHI,WAS,ast,1.2146874816462674,0.5384615384615384,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,1.5,under,0.6573253484754886
2025-01-08,Andre Drummond,PHI,WAS,ast,1.2146874816462674,0.5384615384615384,,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,2.5,under,0.8762864883738442
2025-01-08,Andre Drummond,PHI,WAS,fg3,0.42080542764300405,0.038461538461538464,,nbinom,0.16167095985722266,0,minutes_lt_10|pred_mean_lt_0p5,fg3_composed,v1,0.5,under,0.6655715726293198
2025-01-08,Andre Drummond,PHI,WAS,fg3,0.42080542764300405,0.038461538461538464,,nbinom,0.16167095985722266,0,minutes_lt_10|pred_mean_lt_0p5,fg3_composed,v1,1.5,under,0.9278072787545679
2025-01-08,Andre Jackson Jr.,MIL,SAS,ast,1.562459283001472,1.6,15.7166664,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.7903800779286031
2025-01-08,Andre Jackson Jr.,MIL,SAS,ast,1.562459283001472,1.6,15.7166664,poisson,0.0,1,ok,ast_hgbr,v1,1.5,under,0.5371425152138962
2025-01-08,Andre Jackson Jr.,MIL,SAS,ast,1.562459283001472,1.6,15.7166664,poisson,0.0,1,ok,ast_hgbr,v1,2.5,under,0.7930128732380022
2025-01-08,Andre Jackson Jr.,MIL,SAS,fg3,0.2796058289682802,0.19999999999999998,15.7166664,nbinom,0.16167095985722266,0,pred_mean_lt_0p5|fg3a_lt_1p5,fg3_composed,v1,0.5,under,0.7607348716910132
