file,season,n_rows,mp_dtype,mp_sample_1,mp_sample_2,mp_sample_3
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172207_ee23e154.parquet,2026,50,object,,27:52,27:28
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172213_dbcf5118.parquet,2026,57,object,37:25,36:32,39:52
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172218_431faab0.parquet,2026,56,object,,00:34,00:31
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172224_5d23805a.parquet,2026,56,object,23:58,17:36,13:25
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172230_0217b729.parquet,2026,57,object,,15:19,04:46
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172235_7c00e275.parquet,2026,56,object,,00:59,12:03
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172241_8de27cae.parquet,2026,57,object,20:22,28:16,37:37
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172247_509a0afb.parquet,2026,57,object,,,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172252_c327e28a.parquet,2026,55,object,40:59,34:55,
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172257_9f796921.parquet,2026,57,object,45:15,43:26,27:09
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172303_12696413.parquet,2026,57,object,26:30,26:46,26:51
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172308_6a30ee5e.parquet,2026,55,object,02:43,15:49,23:22
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172313_38b483f2.parquet,2026,55,object,22:09,21:29,21:36
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172320_31210b66.parquet,2026,56,object,24:43,16:50,23:13
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172324_358c1154.parquet,2026,54,object,47:03,36:48,24:48
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172330_9225d126.parquet,2026,54,object,19:45,12:00,28:13
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172336_2208ec92.parquet,2026,54,object,21:36,28:25,25:38
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172341_4d75dc22.parquet,2026,54,object,,24:43,25:05
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172349_8323e422.parquet,2026,55,object,42:12,39:36,39:11
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172355_040ed718.parquet,2026,57,object,39:15,34:41,03:08
data\gamelogs\gamelogs_parquet\season=2026\part_20260218_172400_340b2256.parquet,2026,55,object,00:06,12:29,19:05
