game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_norm,minutes_conf,prob_edge,stat_vol_penalty,extreme_line_penalty,edge_rank_pct,reb_top_bucket_bonus,ast_extreme_tail_penalty,score_safe,score_balanced,score_lotto,can_safe,can_balanced,can_lotto,score
2025-01-07,Bub Carrington,WAS,HOU,fg3,1.8128351209990727,2.039024390243903,34.24999939999999,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.7960394507254417,1.3128351209990727,0.7827769855134236,0.951388872222222,0.2960394507254417,0.1,0.0,0.8621794871794872,0.0,0.0,0.9133146301656129,1.0346273674025788,1.1515847127970924,1,1,1,1.0346273674025788
2025-01-07,Bub Carrington,WAS,HOU,pts,10.785503747943029,10.339295392953932,34.24999939999999,nbinom,0.05344975309597418,1,ok,pts_composed,v1,9.5,over,0.5916619003288819,1.2855037479430287,0.3744546879192776,0.951388872222222,0.09166190032888188,0.06,0.0,0.8498498498498499,0.0,0.0,0.5497851471487099,0.5536219234904581,0.5841020820709152,0,1,1,0.5536219234904581
2025-01-07,Bub Carrington,WAS,HOU,reb,4.608738648469686,4.8,34.24999939999999,poisson,0.0,1,ok,reb_hgbr,v1,3.5,over,0.6757165412220996,1.1087386484696857,0.4681624580344765,0.951388872222222,0.17571654122209956,0.03,0.0,0.7297297297297297,0.0,0.0,0.7090890903148854,0.7692827623350014,0.8398108682246219,0,1,1,0.7692827623350014
2025-01-07,Christian Braun,DEN,BOS,ast,1.9576681590944383,3.4,33.473334,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8588127363957547,1.4576681590944383,0.8475863311248738,0.9298148333333334,0.35881273639575473,0.04,0.0,0.9851190476190477,0.0,0.06,1.1150866098302128,1.1710112550768088,1.2379009103699257,1,1,1,1.1710112550768088
2025-01-07,Christian Braun,DEN,BOS,fg3,1.1245890038356983,0.45454545454545453,33.473334,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,2.5,under,0.8816054702503232,1.3754109961643017,0.9436154160489905,0.9298148333333334,0.3816054702503232,0.1,0.0,0.9519230769230769,0.0,0.0,1.0677158937944446,1.2320452763939194,1.3723321912915674,1,1,1,1.2320452763939194
2025-01-07,Christian Braun,DEN,BOS,pts,14.349861291204743,11.939952153110047,33.473334,nbinom,0.05344975309597418,1,ok,pts_composed,v1,15.5,under,0.6209355135381973,1.1501387087952573,0.29356075267594123,0.9298148333333334,0.12093551353819731,0.06,0.0,0.6966966966966966,0.0,0.0,0.5533310664284181,0.513226300535333,0.509505513681753,0,1,1,0.513226300535333
2025-01-07,Christian Braun,DEN,BOS,reb,4.365226544460017,3.8000000000000003,33.473334,poisson,0.0,1,ok,reb_hgbr,v1,5.5,under,0.7257645712974203,1.1347734555399827,0.48990868204855226,0.9298148333333334,0.22576457129742034,0.03,0.0,0.7597597597597597,0.0,0.0,0.7753616936024739,0.8335482303403413,0.8938073642030274,1,1,1,0.8335482303403413
2025-01-07,Clint Capela,ATL,UTA,pts,9.599794910582716,6.32,21.700000199999998,nbinom,0.05344975309597418,1,ok,pts_composed,v1,8.5,over,0.5815085301485612,1.099794910582716,0.33780258947279074,0.6027777833333333,0.08150853014856119,0.06,0.0,0.8048048048048048,0.0,0.0,0.40569245679721994,0.4471061172483118,0.4878726233517429,0,1,1,0.4471061172483118
2025-01-07,Clint Capela,ATL,UTA,reb,8.412081246432425,7.999999999999999,21.700000199999998,poisson,0.0,1,ok,reb_hgbr,v1,9.5,under,0.664360236124101,1.0879187535675747,0.354612164561267,0.6027777833333333,0.164360236124101,0.03,0.0,0.5615615615615616,0.0,0.0,0.5355433445200336,0.5876507633915908,0.6343547597919272,0,1,1,0.5876507633915908
2025-01-07,Collin Sexton,UTA,ATL,ast,4.273888273460403,5.3999999999999995,29.539999799999997,poisson,0.0,1,ok,ast_hgbr,v1,5.5,under,0.7409935625597845,1.2261117265395969,0.5339057320514617,0.8205555499999999,0.24099356255978455,0.04,0.0,0.6934523809523809,0.0,0.0,0.8482349788276183,0.8365449674751536,0.8201875752211996,1,1,1,0.8365449674751536
