prob_band,n_obs,mean_pred_prob,empirical_hit_rate,threshold_k,mean_error_pred_minus_actual
"(-0.001, 0.1]",15628,0.035963143103109,0.04152802661888917,5,-0.005564883515780175
"(0.1, 0.2]",4055,0.14301451375066773,0.1593094944512947,5,-0.01629498070062696
"(0.2, 0.3]",2065,0.24448198832502527,0.2639225181598063,5,-0.019440529834781006
"(0.3, 0.4]",1660,0.34947969317094446,0.3301204819277108,5,0.019359211243233643
"(0.4, 0.5]",1308,0.4462917044969053,0.47324159021406725,5,-0.026949885717161948
"(0.5, 0.6]",1390,0.5519207238773954,0.5467625899280576,5,0.00515813394933784
"(0.6, 0.7]",1275,0.6470580682293648,0.6250980392156863,5,0.02196002901367855
"(0.7, 0.8]",1118,0.7467409829714059,0.7227191413237924,5,0.02402184164761345
"(0.8, 0.9]",665,0.8470703782243172,0.8451127819548873,5,0.0019575962694299287
"(0.9, 1.0]",296,0.9336984589034508,0.918918918918919,5,0.014779539984531853
"(-0.001, 0.1]",19520,0.023485692417312312,0.029047131147540983,6,-0.005561438730228671
"(0.1, 0.2]",2735,0.14312286846227934,0.16051188299817185,6,-0.017389014535892505
"(0.2, 0.3]",1809,0.24666872321592873,0.24820342730790493,6,-0.0015347040919762023
"(0.3, 0.4]",1285,0.3498704266672837,0.36186770428015563,6,-0.011997277612871948
"(0.4, 0.5]",1357,0.4483429688703769,0.4266764922623434,6,0.021666476608033503
"(0.5, 0.6]",1035,0.5492266815351244,0.5198067632850242,6,0.029419918250100263
"(0.6, 0.7]",822,0.6454390058794804,0.6058394160583942,6,0.039599589821086245
"(0.7, 0.8]",491,0.7478725341523079,0.7556008146639511,6,-0.007728280511643204
"(0.8, 0.9]",303,0.8436091338630931,0.8415841584158416,6,0.0020249754472515535
"(0.9, 1.0]",103,0.9231685339363931,0.912621359223301,6,0.010547174713092078
"(-0.001, 0.1]",21851,0.015566052985323984,0.020090613701890074,7,-0.00452456071656609
"(0.1, 0.2]",2407,0.14425782278948943,0.14416285832987122,7,9.496445961820754e-05
"(0.2, 0.3]",1494,0.2503963503786417,0.26506024096385544,7,-0.014663890585213724
"(0.3, 0.4]",1321,0.34621898616020735,0.3255109765329296,7,0.020708009627277757
"(0.4, 0.5]",956,0.45040010224555427,0.4121338912133891,7,0.038266211032165154
"(0.5, 0.6]",630,0.5460671237672173,0.5253968253968254,7,0.020670298370391915
"(0.6, 0.7]",382,0.6483340199817623,0.6518324607329843,7,-0.003498440751221965
"(0.7, 0.8]",266,0.7466461197001764,0.7406015037593985,7,0.0060446159407778755
"(0.8, 0.9]",137,0.8482347920599386,0.8175182481751825,7,0.030716543884756087
"(0.9, 1.0]",16,0.9147605836772505,0.875,7,0.03976058367725055
"(-0.001, 0.1]",23783,0.012044810481965967,0.015136862464785772,8,-0.003092051982819805
"(0.1, 0.2]",2005,0.14796691924025338,0.143142144638404,8,0.00482477460184938
"(0.2, 0.3]",1431,0.24453997606879949,0.21453529000698812,8,0.030004686061811364
"(0.3, 0.4]",951,0.34724814270203774,0.3028391167192429,8,0.044409025982794836
"(0.4, 0.5]",557,0.44381247432152254,0.40394973070017953,8,0.03986274362134301
"(0.5, 0.6]",333,0.547713101165793,0.5435435435435435,8,0.004169557622249465
"(0.6, 0.7]",221,0.6459882555789518,0.6153846153846154,8,0.030603640194336368
"(0.7, 0.8]",125,0.7472136074902429,0.64,8,0.10721360749024289
"(0.8, 0.9]",54,0.8347291490107764,0.8148148148148148,8,0.01991433419596167
"(-0.001, 0.1]",25118,0.009325339926149475,0.011545505215383391,9,-0.002220165289233916
"(0.1, 0.2]",2035,0.14398878295830428,0.10515970515970516,9,0.03882907779859912
"(0.2, 0.3]",1060,0.24695998212674242,0.20754716981132076,9,0.03941281231542165
