stat,minutes_bucket,pred_bucket,n,mean_pred,mean_actual,mae,bias,rmse,beat_projection_rate,beat_baseline_rate
fg3,17-24,4,2,3.2466722604087037,2.0,1.2466722604087037,-1.2466722604087037,1.6196741532344714,0.0,0.5
fg3,17-24,5,0,,,,,,,
fg3,17-24,5-6,0,,,,,,,
fg3,17-24,7-8,0,,,,,,,
fg3,17-24,9-10,0,,,,,,,
fg3,17-24,<=1,134,0.4653336785446515,0.5746268656716418,0.5917975194096045,0.10929318712699028,0.9060718981262735,0.417910447761194,0.4552238805970149
fg3,17-24,<=10,0,,,,,,,
fg3,17-24,<=2,0,,,,,,,
fg3,17-24,<=4,0,,,,,,,
fg3,25-30,11+,0,,,,,,,
fg3,25-30,11-12,0,,,,,,,
fg3,25-30,11-15,0,,,,,,,
fg3,25-30,13+,0,,,,,,,
fg3,25-30,16-20,0,,,,,,,
fg3,25-30,2,166,1.4704199956348714,1.5120481927710843,1.169630940848417,0.04162819713621287,1.4963922766335345,0.3795180722891566,0.39156626506024095
fg3,25-30,21-25,0,,,,,,,
fg3,25-30,26-30,0,,,,,,,
fg3,25-30,3,36,2.3275694864634127,2.388888888888889,1.4734704971736792,0.061319402425475907,1.7953347395186265,0.4444444444444444,0.4722222222222222
fg3,25-30,3-4,0,,,,,,,
fg3,25-30,31+,0,,,,,,,
fg3,25-30,4,8,3.3764804766175622,2.75,1.663332744516552,-0.6264804766175623,1.8838662886892155,0.375,0.375
fg3,25-30,5,0,,,,,,,
fg3,25-30,5-6,0,,,,,,,
fg3,25-30,7-8,0,,,,,,,
fg3,25-30,9-10,0,,,,,,,
fg3,25-30,<=1,58,0.3551663884930221,0.5344827586206896,0.4815181061610891,0.17931637012766755,0.8384472059547257,0.41379310344827586,0.7068965517241379
fg3,25-30,<=10,0,,,,,,,
fg3,25-30,<=2,0,,,,,,,
fg3,25-30,<=4,0,,,,,,,
fg3,31-36,11+,0,,,,,,,
fg3,31-36,11-12,0,,,,,,,
fg3,31-36,11-15,0,,,,,,,
fg3,31-36,13+,0,,,,,,,
fg3,31-36,16-20,0,,,,,,,
fg3,31-36,2,159,1.555086508583529,1.7358490566037736,1.1809567530203053,0.1807625480202446,1.4144563235654124,0.49056603773584906,0.4591194968553459
fg3,31-36,21-25,0,,,,,,,
fg3,31-36,26-30,0,,,,,,,
fg3,31-36,3,73,2.355098254309747,2.287671232876712,1.2395457136881254,-0.06742702143303476,1.5527246099589205,0.3698630136986301,0.3424657534246575
fg3,31-36,3-4,0,,,,,,,
fg3,31-36,31+,0,,,,,,,
fg3,31-36,4,23,3.360956415837638,4.043478260869565,1.5191709982803412,0.6825218450319269,1.8393450254497141,0.6956521739130435,0.5652173913043478
fg3,31-36,5,3,4.16843398587801,3.0,1.1684339858780095,-1.1684339858780095,1.4235687140151523,0.0,0.3333333333333333
fg3,31-36,5-6,0,,,,,,,
