player,n,actual_mean,pred_mean,mae,bias
Andrew Wiggins,44,4.7272727272727275,4.880198581408179,1.9588524629889361,-0.15292585413545196
Malik Monk,44,3.1818181818181817,3.592730894649357,1.9562214441258698,-0.4109127128311752
De'Andre Hunter,44,4.2727272727272725,4.214031754570617,1.872714857829048,0.05869551815665581
Jared McCain,44,2.3863636363636362,2.9560752764742873,1.5648810706792942,-0.5697116401106512
Luka Garza,43,3.488372093023256,4.763812197108234,2.3460724953158,-1.2754401040849788
Kawhi Leonard,43,6.534883720930233,6.290234243696875,2.163143442069206,0.24464947723335856
Jaylen Brown,43,6.4186046511627906,5.723578582513024,2.12478501243269,0.6950260686497668
Aaron Nesmith,43,4.3023255813953485,4.728210226064859,1.8273346975212763,-0.42588464466951
Zach Edey,42,9.952380952380953,7.96723326558053,3.960630436104652,1.985147686800422
Jordan Miller(TW),42,3.1666666666666665,3.6842242646743713,1.9477061787591399,-0.5175575980077046
Kris Murray,42,3.8333333333333335,3.371794927902699,1.8323899646358208,0.4615384054306346
Amir Coffey,42,1.8333333333333333,2.909482088932294,1.427504881823939,-1.0761487555989608
Alperen Şengün,41,9.048780487804878,10.275361168758437,3.4299715315768795,-1.2265806809535589
Tre Johnson,41,2.6341463414634148,3.4379475787992595,1.9000994080544156,-0.8038012373358449
Will Riley,41,3.1219512195121952,3.233997757800576,1.829911386861494,-0.11204653828838045
Dillon Brooks,41,3.7560975609756095,3.8138355275365945,1.4856625753833066,-0.0577379665609847
Kobe Sanders(TW),41,2.731707317073171,2.9688794855645297,1.4799305633576136,-0.2371721684913589
Caris LeVert,41,2.8048780487804876,3.0138613442897557,1.0625571255303352,-0.2089832955092679
Jonathan Isaac,40,4.05,5.084623608922341,2.676021764365619,-1.034623608922341
Jalen Williams,40,4.85,5.292730140416192,1.6186676408302592,-0.44273014041619224
Jerami Grant,40,3.575,3.6845925636159955,1.6159618366392958,-0.10959256361599534
Darius Garland,40,2.55,3.2423107876868222,1.4266804173046868,-0.6923107876868225
Cameron Payne,40,1.4,2.529430672190442,1.3736515989504874,-1.129430672190442
Dylan Harper,40,3.275,3.4720560328282657,1.2298192519349729,-0.19705603282826606
Isaiah Hartenstein,39,10.051282051282051,10.649509797205225,3.054498823720498,-0.5982277459231736
Jordan Walsh,39,4.153846153846154,4.560631083999719,2.355461718135414,-0.4067849301535651
Dwight Powell,39,2.948717948717949,3.496623348999691,2.1312699652741656,-0.5479054002817424
Cole Anthony,39,3.358974358974359,3.651813212673229,2.057160430341419,-0.2928388536988702
Ochai Agbaji,39,2.6153846153846154,3.4475713164911803,1.6913449057929557,-0.8321867011065652
RJ Barrett,39,5.615384615384615,5.709732516131142,1.6218053972149842,-0.09434790074652658
Jeremy Sochan,38,4.7105263157894735,5.070801655411426,2.2591469585728103,-0.3602753396219523
John Collins,38,5.157894736842105,5.291622386848821,2.211661571476703,-0.13372765000671494
Norman Powell,38,3.236842105263158,4.110045998234504,1.9218511008696169,-0.873203892971346
Will Richard,38,2.3421052631578947,3.041918823652958,1.9006398211543292,-0.6998135604950635
Cooper Flagg,38,6.131578947368421,6.38061511144877,1.8866227335085188,-0.2490361640803491
Ajay Mitchell,38,3.3947368421052633,3.873357120580688,1.8739968531246334,-0.47862027847542477
Ricky Council IV,37,3.4324324324324325,3.5554243797034277,2.34230771309579,-0.1229919472709955
Mason Plumlee,37,6.324324324324325,7.308046784080785,2.330246340833235,-0.9837224597564611
Gui Santos,37,4.4324324324324325,3.9081847428883765,1.9744172073264779,0.524247689544056
Jimmy Butler,37,5.4324324324324325,5.609592881436439,1.8113186764346854,-0.17716044900400615
Ayo Dosunmu,37,3.27027027027027,3.195448729616545,1.35666332878737,0.07482154065372573
Ryan Nembhard(TW),37,2.0,2.6958759600495217,1.3280900290819462,-0.6958759600495218
Isaiah Jackson,36,5.944444444444445,6.5614007973033415,2.905354128817972,-0.6169563528588974
Michael Porter Jr.,36,6.888888888888889,6.083967152399729,2.644639958654097,0.8049217364891601
Craig Porter Jr.,36,3.0555555555555554,3.775137772378586,2.2645743013656126,-0.71958221682303
Justin Edwards,36,2.888888888888889,3.4665943052922974,2.0827051001507773,-0.5777054164034083
Georges Niang,36,2.638888888888889,4.079724896689712,2.018810132277161,-1.4408360078008235
Patrick Williams,36,3.0555555555555554,3.3964290118271934,1.8242769180874059,-0.3408734562716382
Caleb Martin,36,3.3333333333333335,3.4260755514037933,1.791281803900838,-0.09274221807046006
